year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2019,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,140.0,83.0,57.0,119.0,21.0,,,,,,,,,,,,,,
2019,Queensland,435.0,41.0,1503.0,1902.0,2386.0,186.0,36.0,17.0,19.0,11.0,25.0,,,,,,,,,,,,,,
2019,South Australia,2068.0,117.0,5083.0,9248.0,8150.0,369.0,326.0,63.0,263.0,78.0,248.0,,,,,,,,,,,,,,
2019,Tasmania,654.0,23.0,1138.0,2163.0,2031.0,163.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,
2019,Victoria,1356.0,70.0,2449.0,4569.0,4248.0,428.0,458.0,360.0,98.0,372.0,86.0,,,,,,,,,,,,,,
2019,Western Australia,1884.0,96.0,3629.0,6706.0,6151.0,185.0,6.0,0.0,6.0,0.0,6.0,130297.370225658,0.0,130297.370225658,0.0,0.0,130297.370225658,0.0,0.0,0.0,0.0,0.0,0.0,130297.370225658,0.0
2020,All Australia,8488.0,491.0,19202.0,32598.0,30921.0,1656.0,1865.0,1331.0,534.0,1366.0,499.0,4043094511.0835347,4043094511.0835347,0.0,7940169.219704127,852388.356504455,0.0,4034301953.507326,0.0,0.0,4034301953.507326,0.0,7940169.219704127,852388.356504455,0.0
2020,New South Wales,2226.0,118.0,5492.0,7292.0,8211.0,483.0,583.0,502.0,81.0,491.0,92.0,45291.9698261467,45291.9698261467,0.0,45291.9698261467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45291.9698261467,0.0,0.0
2020,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2020,Queensland,633.0,50.0,1697.0,3110.0,2807.0,149.0,14.0,6.0,8.0,6.0,8.0,251.622054589704,251.622054589704,0.0,251.622054589704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.622054589704,0.0,0.0
2020,South Australia,1745.0,116.0,4966.0,8553.0,7871.0,290.0,613.0,233.0,380.0,267.0,346.0,879218.5124866307,879218.5124866307,0.0,879218.5124866307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879218.5124866307,0.0,0.0
2020,Tasmania,472.0,24.0,1003.0,1875.0,1647.0,114.0,3.0,0.0,3.0,0.0,3.0,110276.10044627011,110276.10044627011,0.0,110276.10044627011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110276.10044627011,0.0,0.0
2020,Unspecified,,,,,,,,,,,,4041799463.4223113,4041799463.4223113,0.0,6645121.55848113,852388.356504455,0.0,4034301953.507326,0.0,0.0,4034301953.507326,0.0,6645121.55848113,852388.356504455,0.0
2020,Victoria,1474.0,76.0,2674.0,4789.0,4532.0,497.0,641.0,586.0,55.0,596.0,45.0,239150.3527535182,239150.3527535182,0.0,239150.3527535182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239150.3527535182,0.0,0.0
