Date,Series,Value
2017-11-05,Article Count,0
2017-11-05,Total Monitored Articles,393052
2017-11-06,Article Count,1
2017-11-06,Total Monitored Articles,659873
2017-11-07,Article Count,0
2017-11-07,Total Monitored Articles,733233
2017-11-08,Article Count,4
2017-11-08,Total Monitored Articles,708394
2017-11-09,Article Count,1
2017-11-09,Total Monitored Articles,730383
2017-11-10,Article Count,1
2017-11-10,Total Monitored Articles,687141
2017-11-11,Article Count,0
2017-11-11,Total Monitored Articles,426572
2017-11-12,Article Count,2
2017-11-12,Total Monitored Articles,402133
2017-11-13,Article Count,5
2017-11-13,Total Monitored Articles,682491
2017-11-14,Article Count,4
2017-11-14,Total Monitored Articles,734872
2017-11-15,Article Count,7
2017-11-15,Total Monitored Articles,742764
2017-11-16,Article Count,0
2017-11-16,Total Monitored Articles,630736
2017-11-17,Article Count,0
2017-11-17,Total Monitored Articles,676637
2017-11-18,Article Count,0
2017-11-18,Total Monitored Articles,409283
2017-11-19,Article Count,0
2017-11-19,Total Monitored Articles,387959
2017-11-20,Article Count,0
2017-11-20,Total Monitored Articles,644099
2017-11-21,Article Count,0
2017-11-21,Total Monitored Articles,719406
2017-11-22,Article Count,0
2017-11-22,Total Monitored Articles,667079
2017-11-23,Article Count,0
2017-11-23,Total Monitored Articles,575169
2017-11-24,Article Count,6
2017-11-24,Total Monitored Articles,594491
2017-11-25,Article Count,3
2017-11-25,Total Monitored Articles,376547
2017-11-26,Article Count,3
2017-11-26,Total Monitored Articles,377487
2017-11-27,Article Count,4
2017-11-27,Total Monitored Articles,599212
2017-11-28,Article Count,0
2017-11-28,Total Monitored Articles,713850
2017-11-29,Article Count,1
2017-11-29,Total Monitored Articles,726734
2017-11-30,Article Count,0
2017-11-30,Total Monitored Articles,702677
2017-12-03,Article Count,0
2017-12-03,Total Monitored Articles,347532
2017-12-04,Article Count,0
2017-12-04,Total Monitored Articles,603840
2017-12-05,Article Count,0
2017-12-05,Total Monitored Articles,665504
2017-12-06,Article Count,24
2017-12-06,Total Monitored Articles,669094
2017-12-07,Article Count,1
2017-12-07,Total Monitored Articles,682878
2017-12-08,Article Count,0
2017-12-08,Total Monitored Articles,645343
2017-12-09,Article Count,1
2017-12-09,Total Monitored Articles,392702
2017-12-10,Article Count,0
2017-12-10,Total Monitored Articles,386041
2017-12-11,Article Count,0
2017-12-11,Total Monitored Articles,562684
2017-12-12,Article Count,0
2017-12-12,Total Monitored Articles,668426
2017-12-13,Article Count,1
2017-12-13,Total Monitored Articles,711463
2017-12-14,Article Count,1
2017-12-14,Total Monitored Articles,680273
2017-12-15,Article Count,0
2017-12-15,Total Monitored Articles,611220
2017-12-16,Article Count,0
2017-12-16,Total Monitored Articles,367642
2017-12-17,Article Count,0
2017-12-17,Total Monitored Articles,354372
2017-12-18,Article Count,3
2017-12-18,Total Monitored Articles,568589
2017-12-19,Article Count,0
2017-12-19,Total Monitored Articles,618096
2017-12-20,Article Count,0
2017-12-20,Total Monitored Articles,611544
2017-12-21,Article Count,1
2017-12-21,Total Monitored Articles,635258
2017-12-22,Article Count,0
2017-12-22,Total Monitored Articles,577086
2017-12-23,Article Count,0
2017-12-23,Total Monitored Articles,405042
2017-12-24,Article Count,0
2017-12-24,Total Monitored Articles,351541
2017-12-25,Article Count,0
2017-12-25,Total Monitored Articles,347346
2017-12-26,Article Count,0
2017-12-26,Total Monitored Articles,440947
2017-12-27,Article Count,0
2017-12-27,Total Monitored Articles,519620
2017-12-28,Article Count,0
2017-12-28,Total Monitored Articles,561053
2017-12-29,Article Count,0
2017-12-29,Total Monitored Articles,524027
2017-12-30,Article Count,0
2017-12-30,Total Monitored Articles,362344
2017-12-31,Article Count,0
2017-12-31,Total Monitored Articles,323669
2018-01-01,Article Count,0
2018-01-01,Total Monitored Articles,372641
2018-01-02,Article Count,0
2018-01-02,Total Monitored Articles,508097
2018-01-03,Article Count,4
2018-01-03,Total Monitored Articles,623867
2018-01-04,Article Count,0
2018-01-04,Total Monitored Articles,607039
2018-01-05,Article Count,22
2018-01-05,Total Monitored Articles,537361
2018-01-06,Article Count,5
2018-01-06,Total Monitored Articles,431894
2018-01-07,Article Count,1
2018-01-07,Total Monitored Articles,338104
2018-01-08,Article Count,2
2018-01-08,Total Monitored Articles,618339
2018-01-09,Article Count,0
2018-01-09,Total Monitored Articles,624128
2018-01-10,Article Count,0
2018-01-10,Total Monitored Articles,634107
2018-01-11,Article Count,0
2018-01-11,Total Monitored Articles,579123
2018-01-12,Article Count,0
2018-01-12,Total Monitored Articles,597977
2018-01-13,Article Count,0
2018-01-13,Total Monitored Articles,407765
2018-01-14,Article Count,0
2018-01-14,Total Monitored Articles,338122
2018-01-15,Article Count,0
2018-01-15,Total Monitored Articles,555931
2018-01-16,Article Count,0
2018-01-16,Total Monitored Articles,648837
2018-01-17,Article Count,0
2018-01-17,Total Monitored Articles,610446
2018-01-18,Article Count,13
2018-01-18,Total Monitored Articles,558027
2018-01-19,Article Count,7
2018-01-19,Total Monitored Articles,630594
2018-01-20,Article Count,1
2018-01-20,Total Monitored Articles,382134
2018-01-21,Article Count,0
2018-01-21,Total Monitored Articles,392859
2018-01-22,Article Count,3
2018-01-22,Total Monitored Articles,545224
2018-01-23,Article Count,0
2018-01-23,Total Monitored Articles,614555
2018-01-24,Article Count,2
2018-01-24,Total Monitored Articles,603381
2018-01-25,Article Count,0
2018-01-25,Total Monitored Articles,486773
2018-01-26,Article Count,0
2018-01-26,Total Monitored Articles,605023
2018-01-27,Article Count,0
2018-01-27,Total Monitored Articles,424774
2018-01-28,Article Count,0
2018-01-28,Total Monitored Articles,392817
2018-01-29,Article Count,0
2018-01-29,Total Monitored Articles,500914
2018-01-30,Article Count,0
2018-01-30,Total Monitored Articles,546002
2018-01-31,Article Count,26
2018-01-31,Total Monitored Articles,597245
2018-02-01,Article Count,4
2018-02-01,Total Monitored Articles,638115
2018-02-02,Article Count,0
2018-02-02,Total Monitored Articles,580804
2018-02-03,Article Count,1
2018-02-03,Total Monitored Articles,411787
2018-02-04,Article Count,0
2018-02-04,Total Monitored Articles,387503
2018-02-05,Article Count,0
2018-02-05,Total Monitored Articles,658083
2018-02-06,Article Count,3
2018-02-06,Total Monitored Articles,669277
2018-02-07,Article Count,1
2018-02-07,Total Monitored Articles,649083
2018-02-08,Article Count,0
2018-02-08,Total Monitored Articles,604822
2018-02-09,Article Count,0
2018-02-09,Total Monitored Articles,577680
2018-02-10,Article Count,0
2018-02-10,Total Monitored Articles,437017
2018-02-11,Article Count,2
2018-02-11,Total Monitored Articles,397846
2018-02-12,Article Count,0
2018-02-12,Total Monitored Articles,475912
2018-02-13,Article Count,1
2018-02-13,Total Monitored Articles,541747
2018-02-14,Article Count,0
2018-02-14,Total Monitored Articles,571872
2018-02-15,Article Count,1
2018-02-15,Total Monitored Articles,596926
2018-02-16,Article Count,0
2018-02-16,Total Monitored Articles,540170
