Date,Series,Value
2018-08-30,Average Tone,-1.6024
2018-08-31,Average Tone,-1.2483
2018-09-01,Average Tone,-1.6667
2018-09-02,Average Tone,0
2018-09-03,Average Tone,0
2018-09-04,Average Tone,-1.7509
2018-09-05,Average Tone,1.75
2018-09-06,Average Tone,0
2018-09-07,Average Tone,0
2018-09-08,Average Tone,0
2018-09-09,Average Tone,0
2018-09-10,Average Tone,0
2018-09-11,Average Tone,0
2018-09-12,Average Tone,0
2018-09-13,Average Tone,-0.3344
2018-09-14,Average Tone,3.0717
2018-09-15,Average Tone,1.3175
2018-09-16,Average Tone,1.6393
2018-09-17,Average Tone,-2.9963
2018-09-18,Average Tone,-1.1971
2018-09-19,Average Tone,-1.1184
2018-09-20,Average Tone,0
2018-09-21,Average Tone,-2.1034
2018-09-22,Average Tone,-0.9444
2018-09-23,Average Tone,0
2018-09-24,Average Tone,-2.8792
2018-09-25,Average Tone,0
2018-09-26,Average Tone,-2.8571
2018-09-27,Average Tone,-5.6982
2018-09-28,Average Tone,0
2018-09-29,Average Tone,0
2018-09-30,Average Tone,0
2018-10-01,Average Tone,-2.9023
2018-10-02,Average Tone,-2.6198
2018-10-03,Average Tone,0
2018-10-04,Average Tone,0
2018-10-05,Average Tone,-3.366
2018-10-06,Average Tone,0
2018-10-07,Average Tone,-4.415
2018-10-08,Average Tone,0
2018-10-09,Average Tone,-2.593
2018-10-10,Average Tone,-1.3141
2018-10-11,Average Tone,0
2018-10-12,Average Tone,-0.6278
2018-10-13,Average Tone,-0.6891
2018-10-14,Average Tone,-2.6079
2018-10-15,Average Tone,-2.013
2018-10-16,Average Tone,-5.2632
2018-10-17,Average Tone,2.6427
2018-10-18,Average Tone,6.7367
2018-10-19,Average Tone,-3.672
2018-10-20,Average Tone,2.028
2018-10-21,Average Tone,-2.8002
2018-10-22,Average Tone,0
2018-10-23,Average Tone,0
2018-10-24,Average Tone,0
2018-10-25,Average Tone,0
2018-10-26,Average Tone,3.7543
2018-10-27,Average Tone,-2.8028
2018-10-28,Average Tone,3.7543
2018-10-29,Average Tone,0
2018-10-30,Average Tone,0
2018-10-31,Average Tone,0
2018-11-01,Average Tone,-2.999
2018-11-02,Average Tone,-1.1748
2018-11-03,Average Tone,0
2018-11-04,Average Tone,0
2018-11-05,Average Tone,0
2018-11-06,Average Tone,0
2018-11-07,Average Tone,0
2018-11-08,Average Tone,-0.5976
2018-11-09,Average Tone,0
2018-11-10,Average Tone,0
2018-11-11,Average Tone,0
2018-11-12,Average Tone,0
2018-11-13,Average Tone,-0.385
2018-11-14,Average Tone,0
2018-11-15,Average Tone,0.4525
2018-11-16,Average Tone,-9.6774
2018-11-17,Average Tone,0
2018-11-18,Average Tone,0
2018-11-19,Average Tone,-3.8077
2018-11-20,Average Tone,-4.9548
2018-11-21,Average Tone,0
2018-11-22,Average Tone,-2.6538
2018-11-23,Average Tone,0
2018-11-24,Average Tone,0
2018-11-25,Average Tone,0.0743
2018-11-26,Average Tone,-2.7778
2018-11-27,Average Tone,0
2018-11-28,Average Tone,-8.7898
2018-11-29,Average Tone,0
2018-11-30,Average Tone,-2.8028
2018-12-01,Average Tone,0
2018-12-02,Average Tone,0
2018-12-03,Average Tone,0
2018-12-04,Average Tone,0
2018-12-05,Average Tone,0
2018-12-06,Average Tone,0
2018-12-07,Average Tone,0
2018-12-08,Average Tone,0
2018-12-09,Average Tone,0
2018-12-10,Average Tone,0
2018-12-11,Average Tone,-2.2715
2018-12-12,Average Tone,-2.7273
2018-12-13,Average Tone,0
2018-12-14,Average Tone,-2.8641
2018-12-15,Average Tone,0
2018-12-16,Average Tone,0
2018-12-17,Average Tone,-2.6264
2018-12-18,Average Tone,-0.9737
2018-12-19,Average Tone,0
2018-12-20,Average Tone,0
2018-12-21,Average Tone,0.3236
2018-12-22,Average Tone,0
2018-12-23,Average Tone,0
2018-12-24,Average Tone,0
2018-12-25,Average Tone,0
2018-12-26,Average Tone,0
2018-12-27,Average Tone,0
2018-12-28,Average Tone,-2.1807
2018-12-29,Average Tone,0
2018-12-30,Average Tone,-5.6456
2018-12-31,Average Tone,0
2019-01-01,Average Tone,0
2019-01-02,Average Tone,1.1732
2019-01-03,Average Tone,-1.4658
2019-01-04,Average Tone,0.2375
2019-01-05,Average Tone,-2.0359
2019-01-06,Average Tone,-2.8028
2019-01-07,Average Tone,0
2019-01-08,Average Tone,-0.9354
2019-01-09,Average Tone,0
2019-01-10,Average Tone,-2.0301
2019-01-11,Average Tone,0
2019-01-12,Average Tone,0
2019-01-13,Average Tone,-3.9189
2019-01-14,Average Tone,0
2019-01-15,Average Tone,0
2019-01-16,Average Tone,-2.5805
2019-01-17,Average Tone,-3.4623
2019-01-18,Average Tone,0
2019-01-19,Average Tone,-2.6768
2019-01-20,Average Tone,-0.1043
2019-01-21,Average Tone,0
2019-01-22,Average Tone,0
2019-01-23,Average Tone,0
2019-01-24,Average Tone,0
2019-01-25,Average Tone,0
2019-01-26,Average Tone,0
2019-01-27,Average Tone,-4.2826
2019-01-28,Average Tone,-2.0566
2019-01-29,Average Tone,0
2019-01-30,Average Tone,0
2019-01-31,Average Tone,-0.2167
2019-02-01,Average Tone,0
2019-02-02,Average Tone,0
2019-02-03,Average Tone,0.1671
2019-02-04,Average Tone,0
2019-02-05,Average Tone,0
2019-02-06,Average Tone,0
2019-02-07,Average Tone,0
2019-02-08,Average Tone,0
2019-02-09,Average Tone,0
2019-02-10,Average Tone,0
2019-02-11,Average Tone,0
2019-02-12,Average Tone,-3.7267
2019-02-13,Average Tone,-0.5988
2019-02-14,Average Tone,-1.232
2019-02-15,Average Tone,-4.3088
2019-02-16,Average Tone,-5.6452
2019-02-17,Average Tone,0
2019-02-18,Average Tone,0
2019-02-19,Average Tone,-7.3284
2019-02-20,Average Tone,-3.317
2019-02-21,Average Tone,0
2019-02-22,Average Tone,0
2019-02-23,Average Tone,0
2019-02-24,Average Tone,-6.383
2019-02-25,Average Tone,-4.642
2019-02-26,Average Tone,-0.7384
2019-02-27,Average Tone,-0.9768
2019-02-28,Average Tone,0
2019-03-01,Average Tone,0
2019-03-02,Average Tone,-0.5477
2019-03-03,Average Tone,0
2019-03-04,Average Tone,-0.1742
2019-03-05,Average Tone,0
2019-03-06,Average Tone,-1.1484
2019-03-07,Average Tone,0
2019-03-08,Average Tone,-1.4922
2019-03-09,Average Tone,-2.3489
2019-03-10,Average Tone,0
2019-03-11,Average Tone,0
2019-03-12,Average Tone,0
2019-03-13,Average Tone,-1.1513
2019-03-14,Average Tone,0
2019-03-15,Average Tone,0
2019-03-16,Average Tone,0
2019-03-17,Average Tone,1.7559
2019-03-18,Average Tone,0
2019-03-19,Average Tone,1.7559
2019-03-20,Average Tone,0
2019-03-21,Average Tone,0
2019-03-22,Average Tone,0
2019-03-23,Average Tone,0
2019-03-24,Average Tone,0
2019-03-25,Average Tone,0
2019-03-26,Average Tone,-3.941
2019-03-27,Average Tone,0
2019-03-28,Average Tone,0
2019-03-29,Average Tone,0
2019-03-30,Average Tone,0
2019-03-31,Average Tone,0
2019-04-01,Average Tone,0
2019-04-02,Average Tone,0
2019-04-03,Average Tone,0
