year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
2020,South Australia,1745.0,116.0,116.0,8553.0,7871.0,290.0,613.0,233.0,380.0,267.0,346.0
2020,Tasmania,472.0,24.0,24.0,1875.0,1647.0,114.0,3.0,0.0,3.0,0.0,3.0
2020,Victoria,1474.0,76.0,76.0,4789.0,4532.0,497.0,641.0,586.0,55.0,596.0,45.0
2020,Western Australia,1938.0,107.0,107.0,6979.0,5853.0,123.0,5.0,3.0,2.0,4.0,1.0
2021,Australian Capital Territory,,,,,,,5.0,2.0,3.0,0.0,5.0
2021,New South Wales,3113.0,123.0,123.0,8210.0,9399.0,606.0,494.0,392.0,102.0,411.0,83.0
2021,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2021,Queensland,719.0,53.0,53.0,2141.0,2638.0,84.0,26.0,17.0,9.0,14.0,12.0
2021,South Australia,2534.0,118.0,118.0,8243.0,7858.0,470.0,17.0,1.0,16.0,2.0,15.0
2021,Tasmania,466.0,22.0,22.0,1807.0,1740.0,112.0,4.0,2.0,2.0,3.0,1.0
2021,Victoria,1579.0,57.0,57.0,4443.0,4267.0,448.0,374.0,332.0,42.0,333.0,41.0
2021,Western Australia,1915.0,104.0,104.0,7145.0,5984.0,193.0,9.0,3.0,6.0,3.0,6.0
2022,Australian Capital Territory,,,,,,,11.0,5.0,6.0,4.0,7.0
2022,New South Wales,3429.0,136.0,136.0,9018.0,10667.0,675.0,687.0,463.0,224.0,439.0,248.0
2022,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,4.0
2022,Queensland,1056.0,59.0,59.0,3267.0,3706.0,153.0,78.0,19.0,59.0,16.0,62.0
2022,South Australia,3003.0,123.0,123.0,9578.0,8842.0,452.0,150.0,20.0,130.0,14.0,136.0
2022,Tasmania,567.0,20.0,20.0,1804.0,1795.0,55.0,118.0,39.0,79.0,45.0,73.0
2022,Victoria,1608.0,50.0,50.0,4236.0,4239.0,548.0,183.0,115.0,68.0,116.0,67.0
2022,Western Australia,1905.0,82.0,82.0,6344.0,5482.0,390.0,60.0,9.0,51.0,9.0,51.0
